jour,mois,anne,heure,minute,seconde,milliseconde,nanoseconde,validite
1,4,2016,18,0,13,496830000,242998,7
1,4,2016,18,0,43,496860000,228157,7
1,4,2016,18,1,13,496890000,213305,7
1,4,2016,18,1,43,496920000,198432,7
1,4,2016,18,2,13,496950000,183535,7
1,4,2016,18,2,43,496980000,168637,7
1,4,2016,18,3,13,497010000,153748,7
1,4,2016,18,3,43,497040000,138843,7
1,4,2016,18,4,13,497070000,123935,7
1,4,2016,18,4,43,497100000,109031,7
1,4,2016,18,5,13,497130000,94123,7
1,4,2016,18,5,43,497160000,79208,7
1,4,2016,18,6,13,497190000,64277,7
1,4,2016,18,6,43,497220000,49343,7
1,4,2016,18,7,13,497250000,34420,7
1,4,2016,18,7,43,497280000,19489,7
1,4,2016,18,8,13,497310000,4554,7
1,4,2016,18,8,43,497340000,-10391,7
1,4,2016,18,9,13,497370000,-25342,7
1,4,2016,18,9,43,497400000,-40314,7
1,4,2016,18,10,13,497430000,-55293,7
1,4,2016,18,10,43,497460000,-70299,7
1,4,2016,18,11,13,497490000,-85318,7
1,4,2016,18,11,43,497520000,-100311,7
1,4,2016,18,12,13,497550000,-115325,7
1,4,2016,18,12,43,497580000,-130326,7
1,4,2016,18,13,13,497610000,-145359,7
1,4,2016,18,13,43,497640000,-160400,7
1,4,2016,18,14,13,497670000,-175444,7
1,4,2016,18,14,43,497700000,-190507,7
1,4,2016,18,15,13,497730000,-205573,7
1,4,2016,18,15,43,497760000,-220647,7
1,4,2016,18,16,13,497790000,-235707,7
1,4,2016,18,16,43,497820000,-250796,7
1,4,2016,18,17,13,497850000,-265885,7
1,4,2016,18,17,43,497880000,-280982,7
1,4,2016,18,18,13,497910000,-296085,7
1,4,2016,18,18,43,497940000,-311178,7
1,4,2016,18,19,13,497970000,-326295,7
1,4,2016,18,19,43,498000000,-341412,7
1,4,2016,18,20,13,498030000,-356536,7
1,4,2016,18,20,43,498060000,-371675,7
1,4,2016,18,21,13,498090000,-386851,7
1,4,2016,18,21,43,498120000,-402060,7
1,4,2016,18,22,13,498150000,-417249,7
1,4,2016,18,22,43,498180000,-432414,7
1,4,2016,18,23,13,498210000,-447588,7
1,4,2016,18,23,43,498240000,-462768,7
1,4,2016,18,24,13,498270000,-477964,7
1,4,2016,18,24,43,498300000,-493161,7
1,4,2016,18,25,13,498329999,-508388,7
1,4,2016,18,25,43,498359999,-523614,7
1,4,2016,18,26,13,498390000,461128,7
1,4,2016,18,26,43,498420000,445908,7
1,4,2016,18,27,13,498450000,430674,7
1,4,2016,18,27,43,498480000,415415,7
1,4,2016,18,28,13,498510000,400163,7
1,4,2016,18,28,43,498540000,384909,7
1,4,2016,18,29,13,498570000,369643,7
1,4,2016,18,29,43,498600000,354369,7
1,4,2016,18,30,13,498630000,339100,7
1,4,2016,18,30,43,498660000,323808,7
1,4,2016,18,31,13,498690000,308488,7
1,4,2016,18,31,43,498720000,293189,7
1,4,2016,18,32,13,498750000,277887,7
1,4,2016,18,32,43,498780000,262588,7
1,4,2016,18,33,13,498810000,247283,7
1,4,2016,18,33,43,498840000,231964,7
1,4,2016,18,34,13,498870000,216654,7
1,4,2016,18,34,43,498900000,201307,7
1,4,2016,18,35,13,498930000,185947,7
1,4,2016,18,35,43,498960000,170592,7
1,4,2016,18,36,13,498990000,155256,7
1,4,2016,18,36,43,499020000,139909,7
1,4,2016,18,37,13,499050000,124554,7
1,4,2016,18,37,43,499080000,109205,7
1,4,2016,18,38,13,499110000,93850,7
1,4,2016,18,38,43,499140000,78480,7
1,4,2016,18,39,13,499170000,63099,7
1,4,2016,18,39,43,499200000,47745,7
1,4,2016,18,40,13,499230000,32340,7
1,4,2016,18,40,43,499260000,16955,7
1,4,2016,18,41,13,499290000,1551,7
1,4,2016,18,41,43,499320000,-13863,7
1,4,2016,18,42,13,499350000,-29284,7
1,4,2016,18,42,43,499380000,-44712,7
1,4,2016,18,43,13,499410000,-60173,7
1,4,2016,18,43,43,499440000,-75608,7
1,4,2016,18,44,13,499470000,-91076,7
1,4,2016,18,44,43,499500000,-106564,7
1,4,2016,18,45,13,499530000,-122024,7
1,4,2016,18,45,43,499560000,-137497,7
1,4,2016,18,46,13,499590000,-152986,7
1,4,2016,18,46,43,499620000,-168491,7
1,4,2016,18,47,13,499650000,-184007,7
1,4,2016,18,47,43,499680000,-199534,7
1,4,2016,18,48,13,499710000,-215047,7
1,4,2016,18,48,43,499740000,-230623,7
1,4,2016,18,49,13,499770000,-246186,7
1,4,2016,18,49,43,499800000,-261771,7
1,4,2016,18,50,13,499830000,-277357,7
1,4,2016,18,50,43,499860000,-292954,7
1,4,2016,18,50,44,499861920,919706042,7
1,4,2016,18,50,46,499863840,839705046,7
1,4,2016,18,50,48,499865760,759704048,7
1,4,2016,18,50,49,499866960,959703424,7
1,4,2016,18,51,13,499890000,-308562,7
1,4,2016,18,51,43,499920000,-324184,7
1,4,2016,18,52,13,499950000,-339824,7
1,4,2016,18,52,43,499980000,-355519,7
1,4,2016,18,53,13,500010000,-371185,7
1,4,2016,18,53,43,500040000,-386833,7
1,4,2016,18,54,13,500070000,-402489,7
1,4,2016,18,54,43,500100000,-418169,7
1,4,2016,18,55,13,500130000,-433855,7
1,4,2016,18,55,43,500160000,-449558,7
1,4,2016,18,56,13,500190000,-465267,7
1,4,2016,18,56,43,500220000,-480987,7
1,4,2016,18,57,13,500250000,-496721,7
1,4,2016,18,57,43,500279999,-512460,7
1,4,2016,18,58,13,500309999,-528209,7
1,4,2016,18,58,43,500340000,456027,7
1,4,2016,18,59,13,500370000,440252,7
1,4,2016,18,59,43,500400000,424475,7
